date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2017-07-12,36.75,36.9,36.61,36.83,17486345,17486345,0.23,0.628,36.7879,"Jul 12, 17",-0.1255935422602089
2017-07-13,36.54,36.6,36.19,36.21,30230063,30230063,-0.62,-1.683,36.3262,"Jul 13, 17",-0.14031339031339024
2017-07-14,36.23,36.38,36.17,36.3,23561432,23561432,0.09,0.249,36.3031,"Jul 14, 17",-0.1381766381766382
2017-07-17,36.32,36.45,36.25,36.39,20546783,20546783,0.09,0.248,36.3156,"Jul 17, 17",-0.13603988603988598
2017-07-18,36.43,36.43,35.87,35.99,29145897,29145897,-0.4,-1.099,36.0495,"Jul 18, 17",-0.14553656220322878
2017-07-19,36.03,36.13,35.81,36.13,26281264,26281264,0.14,0.389,35.9782,"Jul 19, 17",-0.14221272554605877
2017-07-20,36.33,36.72,36.16,36.52,31892457,31892457,0.39,1.079,36.4791,"Jul 20, 17",-0.1329534662867995
2017-07-21,36.42,36.61,36.255,36.51,20150775,20150775,-0.01,-0.027,36.4512,"Jul 21, 17",-0.13319088319088318
2017-07-24,36.51,36.55,36.18,36.23,22403501,22403501,-0.28,-0.767,36.3041,"Jul 24, 17",-0.1398385565052232
2017-07-25,36.29,36.5,36.13,36.22,29446967,29446967,-0.01,-0.028,36.2747,"Jul 25, 17",-0.14007597340930672
2017-07-26,37.42,38.1,37.4,38.03,72431800,72431800,1.81,4.997,37.8835,"Jul 26, 17",-0.09710351377018035
2017-07-27,38.2,39.5,38.2,39.41,61986966,61986966,1.38,3.629,39.1504,"Jul 27, 17",-0.0643399810066477
2017-07-28,39.25,39.67,38.83,39,36012922,36012922,-0.41,-1.04,39.1365,"Jul 28, 17",-0.07407407407407401
2017-07-31,38.97,39.13,38.715,39,28481301,28481301,0,0,38.9712,"Jul 31, 17",-0.07407407407407401
2017-08-01,39.25,39.27,38.71,38.88,29374491,29374491,-0.12,-0.308,38.9387,"Aug 1, 17",-0.0769230769230768
2017-08-02,38.98,38.99,38.04,38.27,34610544,34610544,-0.61,-1.569,38.342,"Aug 2, 17",-0.09140550807217461
2017-08-03,38.23,38.5,38.15,38.28,18852222,18852222,0.01,0.026,38.2982,"Aug 3, 17",-0.09116809116809109
2017-08-04,38.44,38.52,38.04,38.43,16317012,16317012,0.15,0.392,38.3042,"Aug 4, 17",-0.08760683760683756
2017-08-07,38.44,38.64,38.37,38.52,16825749,16825749,0.09,0.234,38.5027,"Aug 7, 17",-0.08547008547008535
2017-08-08,38.56,38.745,38.27,38.36,15435797,15435797,-0.16,-0.415,38.5032,"Aug 8, 17",-0.08926875593542256
2017-08-09,38.2,38.395,38.06,38.36,19706726,19706726,0,0,38.2816,"Aug 9, 17",-0.08926875593542256
2017-08-10,38.27,38.54,38.18,38.19,21305391,21305391,-0.17,-0.443,38.2954,"Aug 10, 17",-0.0933048433048433
2017-08-11,38.3,38.34,38.07,38.1,13278982,13278982,-0.09,-0.236,38.1726,"Aug 11, 17",-0.09544159544159535
2017-08-14,38.24,38.56,38.18,38.5,17163598,17163598,0.4,1.05,38.46,"Aug 14, 17",-0.08594491927825255
2017-08-15,38.5,38.55,38.01,38.16,14820393,14820393,-0.34,-0.883,38.1854,"Aug 15, 17",-0.09401709401709404
2017-08-16,38.16,38.34,37.96,38.23,14973321,14973321,0.07,0.183,38.1827,"Aug 16, 17",-0.09235517568850904
2017-08-17,38.16,38.215,37.58,37.6,21993973,21993973,-0.63,-1.648,37.828,"Aug 17, 17",-0.10731244064577389
2017-08-18,37.5,37.61,37.2,37.37,23017865,23017865,-0.23,-0.612,37.4323,"Aug 18, 17",-0.11277302943969611
2017-08-21,37.49,37.885,37.405,37.58,17309101,17309101,0.21,0.562,37.629,"Aug 21, 17",-0.10778727445394111
2017-08-22,37.69,37.99,37.56,37.98,14737758,14737758,0.4,1.064,37.8532,"Aug 22, 17",-0.09829059829059832
2017-08-23,37.85,38.075,37.85,37.92,19934880,19934880,-0.06,-0.158,37.9528,"Aug 23, 17",-0.09971509971509962
2017-08-24,37.96,37.975,37.635,37.68,10941782,10941782,-0.24,-0.633,37.7589,"Aug 24, 17",-0.10541310541310536
2017-08-25,37.82,38.13,37.76,37.99,14187866,14187866,0.31,0.823,37.9905,"Aug 25, 17",-0.09805318138651462
2017-08-28,38,38.07,37.75,37.94,10128540,10128540,-0.05,-0.132,37.8807,"Aug 28, 17",-0.09924026590693258
2017-08-29,37.75,38.03,37.75,37.85,9590990,9590990,-0.09,-0.237,37.8465,"Aug 29, 17",-0.10137701804368462
2017-08-30,37.82,37.82,37.61,37.67,12433601,12433601,-0.18,-0.476,37.7064,"Aug 30, 17",-0.10565052231718888
2017-08-31,37.74,37.87,37.45,37.46,20738519,20738519,-0.21,-0.557,37.5866,"Aug 31, 17",-0.1106362773029439
2017-09-01,37.59,37.605,37.42,37.48,12769392,12769392,0.02,0.053,37.4941,"Sep 1, 17",-0.11016144349477684
2017-09-05,37.4,37.43,36.93,37.09,22806313,22806313,-0.39,-1.041,37.1028,"Sep 5, 17",-0.11942070275403595
2017-09-06,37.13,37.16,36.53,36.57,28370488,28370488,-0.52,-1.402,36.7025,"Sep 6, 17",-0.1317663817663817
2017-09-07,36.6,36.79,35.58,35.6,48620730,48620730,-0.97,-2.652,36.0154,"Sep 7, 17",-0.15479582146248805
2017-09-08,35.6,35.76,35.1,35.59,41051014,41051014,-0.01,-0.028,35.442,"Sep 8, 17",-0.15503323836657157
